# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2018
#
 #    World Rank                   ,  Institution                   ,  Country                       
   11  ,  Nanyang Technological University  , Singapore    
   15  ,  National University of Singapore  , Singapore    
   25  ,  Tsinghua University  , China    
   26  ,  University of Hong Kong  , Hong Kong    
   28  ,  The University of Tokyo  , Japan    
   30  ,  Hong Kong University of Science and Technology  , Hong Kong    
   36  ,  Kyoto University  , Japan    
   36  ,  Seoul National University  , South Korea    
   38  ,  Peking University  , China    
   40  ,  Fudan University  , China    
   41  ,  Korea Advanced Institute of Science and Technology  , South Korea    
   46  ,  Chinese University of Hong Kong  , Hong Kong    
   49  ,  City University of Hong Kong  , Hong Kong    
   56  ,  Tokyo Institute of Technology  , Japan    
   62  ,  Shanghai Jiao Tong University  , China    
   63  ,  Osaka University  , Japan    
   71  ,  Pohang University of Science and Technology  , South Korea    
   76  ,  Tohoku University  , Japan    
   76  ,  National Taiwan University  , Taiwan    
   87  ,  Zhejiang University  , China    
   90  ,  Korea University  , South Korea    
   95  ,  Hong Kong Polytechnic University  , Hong Kong    
   97  ,  University of Science and Technology of China  , China    
   106  ,  Yonsei University  , South Korea    
   108  ,  Sungkyunkwan University  , South Korea    
   114  ,  Nanjing University  , China    
   114  ,  University of Malaya  , Malaysia    
   116  ,  Nagoya University  , Japan    
   122  ,  Hokkaido University  , Japan    
   128  ,  Kyushu University  , Japan    
   155  ,  Hanyang University  , South Korea    
   161  ,  National Tsinghua University  , Taiwan    
   172  ,  Indian Institute of Technology - Delhi  , India    
   179  ,  Indian Institute of Technology - Bombay  , India    
   190  ,  Indian Institute of Science  , India    
   192  ,  Keio University  , Japan    
   203  ,  Waseda University  , Japan    
   207  ,  National Chiao Tung University  , Taiwan    
   222  ,  National Cheng Kung University  , Taiwan    
   229  ,  University of Putra Malaysia  , Malaysia    
   230  ,  National University of Malaysia  , Malaysia    
   245  ,  Chulalongkorn University  , Thailand    
   250  ,  Tsukuba University  , Japan    
   253  ,  University of Technology - Malaysia  , Malaysia    
   256  ,  Beijing Normal University  , China    
   256  ,  Kyung Hee University  , South Korea    
   264  ,  Indian Institute of Technology - Madras  , India    
   264  ,  University of Science - Malaysia  , Malaysia    
   264  ,  National Taiwan University of Science and Technology  , Taiwan    
   277  ,  University of Indonesia  , Indonesia    
   282  ,  Wuhan University  , China    
   289  ,  National Taiwan Normal University  , Taiwan    
   293  ,  Indian Institute of Technology - Kanpur  , India    
   299  ,  Hong Kong Baptist University  , Hong Kong    
   299  ,  Ewha Womans University  , South Korea    
   308  ,  Indian Institute of Technology - Kharagpur  , India    
   316  ,  Tongji University  , China    
   319  ,  Sun Yat-Sen University  , China    
   322  ,  Hiroshima University  , Japan    
   325  ,  Harbin Institute of Technology  , China    
   329  ,  National Yang-Ming University  , Taiwan    
   331  ,  Institute of Technology Bandung  , Indonesia    
   334  ,  Mahidol University  , Thailand    
   339  ,  Gwangju Institute of Science and Technology  , South Korea    
   344  ,  Nankai University  , China    
   344  ,  Xi&rsquo;an Jiaotong University  , China    
   351  ,  Kobe University  , Japan    
   367  ,  Tokyo Medical and Dental University  , Japan    
   367  ,  University of the Philippines Manila  , Philippines    
   388  ,  National Sun Yat-Sen University  , Taiwan    
   391  ,  National Central University  , Taiwan    
   397  ,  Hankuk University of Foreign Studies  , South Korea    
   398  ,  Taipei Medical University  , Taiwan    
   401-410  ,  Gadjah Mada University  , Indonesia    
   421-430  ,  Shanghai University  , China    
   421-430  ,  Hitotsubashi University  , Japan    
   431-440  ,  Xiamen University  , China    
   431-440  ,  Indian Institute of Technology - Roorkee  , India    
   441-450  ,  Sogang University  , South Korea    
   441-450  ,  Singapore Management University  , Singapore    
   451-460  ,  Beijing Institute of Technology  , China    
   471-480  ,  Huazhong University of Science and Technology  , China    
   471-480  ,  Tianjin University  , China    
   471-480  ,  Sharif University of Technology  , Iran    
   471-480  ,  Dongguk University  , South Korea    
   481-490  ,  Renmin University of China  , China    
   481-490  ,  University of Delhi  , India    
   481-490  ,  Chang Gung University  , Taiwan    
   491-500  ,  Jilin University  , China    
   491-500  ,  Pusan National University  , South Korea    
   501-550  ,  East China Normal University  , China    
   501-550  ,  Southeast University  , China    
   501-550  ,  Indian Institute of Technology - Guwahati  , India    
   501-550  ,  Chiba University  , Japan    
   501-550  ,  Okayama University  , Japan    
   501-550  ,  Yokohama City University  , Japan    
   501-550  ,  Catholic University of Korea  , South Korea    
   501-550  ,  Chonbuk National University  , South Korea    
   501-550  ,  Amirkabir University of Technology  , Iran    
   551-600  ,  Beihang University  , China    
   551-600  ,  Dalian University of Technology  , China    
   551-600  ,  East China University of Science and Technology  , China    
   551-600  ,  Shandong University  , China    
   551-600  ,  Sichuan University  , China    
   551-600  ,  South China University of Technology  , China    
   551-600  ,  University of Science and Technology Beijing  , China    
   551-600  ,  Lingnan University  , Hong Kong    
   551-600  ,  Iran University of Science and Technology Tehran  , Iran    
   551-600  ,  Kanazawa University  , Japan    
   551-600  ,  Kumamoto University  , Japan    
   551-600  ,  Nagasaki University  , Japan    
   551-600  ,  Osaka City University  , Japan    
   551-600  ,  Tokyo University of Agriculture and Technology  , Japan    
   551-600  ,  Sejong University  , South Korea    
   551-600  ,  Ulsan University  , South Korea    
   551-600  ,  Ateneo de Manila University  , Philippines    
   551-600  ,  Chiang Mai University  , Thailand    
   601-650  ,  Lanzhou University  , China    
   601-650  ,  Jadavpur University  , India    
   601-650  ,  University of Hyderabad  , India    
   601-650  ,  University of Tehran  , Iran    
   601-650  ,  Chonnam National University  , South Korea    
   601-650  ,  Inha University  , South Korea    
   601-650  ,  University of Technology - Petronas  , Malaysia    
   601-650  ,  Thammasat University  , Thailand    
   601-650  ,  National Chengchi University  , Taiwan    
   601-650  ,  National Chung Hsing University - Taipei  , Taiwan    
   601-650  ,  National Taipei University of Technology  , Taiwan    
   651-700  ,  Beijing Foreign Studies University  , China    
   651-700  ,  Shanghai International Studies University  , China    
   651-700  ,  Anna University  , India    
   651-700  ,  Gifu University  , Japan    
   651-700  ,  Kagoshima University  , Japan    
   651-700  ,  Tokyo Metropolitan University  , Japan    
   651-700  ,  Ajou University  , South Korea    
   651-700  ,  Hallym University  , South Korea    
   651-700  ,  Konkuk University  , South Korea    
   651-700  ,  Seoul University  , South Korea    
   701-750  ,  Beijing University of Technology  , China    
   701-750  ,  China Agricultural University  , China    
   701-750  ,  Hunan University  , China    
   701-750  ,  Airlangga University  , Indonesia    
   701-750  ,  Manipal University  , India    
   701-750  ,  Niigata University  , Japan    
   701-750  ,  Osaka Prefecture University  , Japan    
   701-750  ,  Tokyo University of Science  , Japan    
   701-750  ,  Sophia University  , Japan    
   701-750  ,  Dankook University  , South Korea    
   701-750  ,  Kyungpook National University  , South Korea    
   701-750  ,  International Islamic University Malaysia  , Malaysia    
   701-750  ,  University of Utara Malaysia  , Malaysia    
