# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2020
#
 #    World Rank                   ,  Institution                   ,  Country                       
   651-700  ,  Sejong University  , South Korea    
   651-700  ,  Seoul University  , South Korea    
   651-700  ,  International Islamic University Malaysia  , Malaysia    
   651-700  ,  University of Technology - Mara  , Malaysia    
   651-700  ,  National Chung Hsing University - Taipei  , Taiwan    
   651-700  ,  Kaohsiung Medical University  , Taiwan    
   701-750  ,  Beijing University of Technology  , China    
   701-750  ,  Central South University  , China    
   701-750  ,  Hunan University  , China    
   701-750  ,  Shenzhen University  , China    
   701-750  ,  Manipal University  , India    
   701-750  ,  Yamaguchi University  , Japan    
   701-750  ,  Chonnam National University  , South Korea    
   701-750  ,  Chungnam National University  , South Korea    
   701-750  ,  Dankook University  , South Korea    
   701-750  ,  University of Malaysia Perlis  , Malaysia    
   701-750  ,  Beijing Jiaotong University  , China    
   751-800  ,  Chongqing University  , China    
   751-800  ,  Lanzhou University  , China    
   751-800  ,  Padjadjaran University  , Indonesia    
   751-800  ,  Anna University  , India    
   751-800  ,  Jamia Millia Islamia University  , India    
   751-800  ,  Gunma University  , Japan    
   751-800  ,  Shinshu University  , Japan    
   751-800  ,  Yokohama National University  , Japan    
   751-800  ,  O.P. Jindal Global University  , India    
   751-800  ,  Sunway University  , Malaysia    
   751-800  ,  University of Malaysia - Pahang  , Malaysia    
   801-1000  ,  Beijing Foreign Studies University  , China    
   801-1000  ,  Shanghai International Studies University  , China    
   801-1000  ,  Wuhan University of Technology  , China    
   801-1000  ,  Bina Nusantara University  , Indonesia    
   801-1000  ,  Diponegoro University  , Indonesia    
   801-1000  ,  Aligarh Muslim University  , India    
   801-1000  ,  Amrita Vishwa Vidyapeetham (Deemed University)  , India    
   801-1000  ,  Banaras Hindu University  , India    
   801-1000  ,  Birla Institute of Technology and Science  , India    
   801-1000  ,  Thapar University  , India    
   801-1000  ,  University of Calcutta  , India    
   801-1000  ,  University of Mumbai  , India    
   801-1000  ,  Savitribai Phule Pune University  , India    
   801-1000  ,  Vellore Institute of Technology  , India    
   801-1000  ,  Shahid Beheshti University  , Iran    
   801-1000  ,  Shiraz University  , Iran    
   801-1000  ,  Kyoto Institute of Technology  , Japan    
   801-1000  ,  Kyushu Institute of Technology  , Japan    
   801-1000  ,  Nagoya Institute of Technology  , Japan    
   801-1000  ,  Rikkyo University (St. Paul&rsquo;s University)  , Japan    
   801-1000  ,  Ritsumeikan University  , Japan    
   801-1000  ,  Saitama University  , Japan    
   801-1000  ,  Tokyo University of Science  , Japan    
   801-1000  ,  Sophia University  , Japan    
   801-1000  ,  Tokai University  , Japan    
   801-1000  ,  Yeungnam University  , South Korea    
   801-1000  ,  Multimedia University  , Malaysia    
   801-1000  ,  Malaysian University of Sabah  , Malaysia    
   801-1000  ,  University of Malaysia Sarawak  , Malaysia    
   801-1000  ,  University of Tenaga Nasional  , Malaysia    
   801-1000  ,  University of Tunku Abdul Rahman  , Malaysia    
   801-1000  ,  De La Salle University  , Philippines    
   801-1000  ,  University of Santo Tomas  , Philippines    
   801-1000  ,  Kasetsart University  , Thailand    
   801-1000  ,  Khon Kaen University  , Thailand    
   801-1000  ,  King Mongkut&rsquo;s University of Technology Thonburi  , Thailand    
   801-1000  ,  Prince of Songkla University  , Thailand    
   801-1000  ,  National Chung Cheng University  , Taiwan    
   801-1000  ,  Sepuluh Nopember Institute of Technology  , Indonesia    
   801-1000  ,  Seoul National University of Science and Technology  , South Korea    
   801-1000  ,  Xi&rsquo;an Jiaotong Liverpool University  , China    
