# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2019
#
 #    World Rank                   ,  Institution                   ,  Country                       
   11  ,  National University of Singapore  , Singapore    
   12  ,  Nanyang Technological University  , Singapore    
   17  ,  Tsinghua University  , China    
   23  ,  The University of Tokyo  , Japan    
   25  ,  University of Hong Kong  , Hong Kong    
   30  ,  Peking University  , China    
   35  ,  Kyoto University  , Japan    
   36  ,  Seoul National University  , South Korea    
   37  ,  Hong Kong University of Science and Technology  , Hong Kong    
   40  ,  Korea Advanced Institute of Science and Technology  , South Korea    
   44  ,  Fudan University  , China    
   49  ,  Chinese University of Hong Kong  , Hong Kong    
   55  ,  City University of Hong Kong  , Hong Kong    
   58  ,  Tokyo Institute of Technology  , Japan    
   59  ,  Shanghai Jiao Tong University  , China    
   67  ,  Osaka University  , Japan    
   68  ,  Zhejiang University  , China    
   72  ,  National Taiwan University  , Taiwan    
   77  ,  Tohoku University  , Japan    
   83  ,  Pohang University of Science and Technology  , South Korea    
   86  ,  Korea University  , South Korea    
   87  ,  University of Malaya  , Malaysia    
   98  ,  University of Science and Technology of China  , China    
   100  ,  Sungkyunkwan University  , South Korea    
   106  ,  Hong Kong Polytechnic University  , Hong Kong    
   107  ,  Yonsei University  , South Korea    
   111  ,  Nagoya University  , Japan    
   122  ,  Nanjing University  , China    
   126  ,  Kyushu University  , Japan    
   128  ,  Hokkaido University  , Japan    
   151  ,  Hanyang University  , South Korea    
   162  ,  Indian Institute of Technology - Bombay  , India    
   163  ,  National Tsinghua University  , Taiwan    
   170  ,  Indian Institute of Science  , India    
   172  ,  Indian Institute of Technology - Delhi  , India    
   184  ,  National University of Malaysia  , Malaysia    
   198  ,  Keio University  , Japan    
   202  ,  University of Putra Malaysia  , Malaysia    
   207  ,  University of Science - Malaysia  , Malaysia    
   208  ,  Waseda University  , Japan    
   208  ,  National Chiao Tung University  , Taiwan    
   228  ,  University of Technology - Malaysia  , Malaysia    
   234  ,  National Cheng Kung University  , Taiwan    
   257  ,  Wuhan University  , China    
   257  ,  National Taiwan University of Science and Technology  , Taiwan    
   260  ,  Tsukuba University  , Japan    
   264  ,  Indian Institute of Technology - Madras  , India    
   264  ,  Kyung Hee University  , South Korea    
   271  ,  Chulalongkorn University  , Thailand    
   277  ,  Hong Kong Baptist University  , Hong Kong    
   283  ,  Indian Institute of Technology - Kanpur  , India    
   285  ,  Harbin Institute of Technology  , China    
   291  ,  Tongji University  , China    
   292  ,  Beijing Normal University  , China    
   292  ,  University of Indonesia  , Indonesia    
   292  ,  National Yang-Ming University  , Taiwan    
   295  ,  Indian Institute of Technology - Kharagpur  , India    
   295  ,  Sun Yat-Sen University  , China    
   308  ,  National Taiwan Normal University  , Taiwan    
   313  ,  Xi&rsquo;an Jiaotong University  , China    
   315  ,  Gwangju Institute of Science and Technology  , South Korea    
   319  ,  Ewha Womans University  , South Korea    
   321  ,  Hiroshima University  , Japan    
   338  ,  Nankai University  , China    
   352  ,  Kobe University  , Japan    
   352  ,  Tokyo Medical and Dental University  , Japan    
   359  ,  Institute of Technology Bandung  , Indonesia    
   362  ,  Taipei Medical University  , Taiwan    
   380  ,  Mahidol University  , Thailand    
   381  ,  Indian Institute of Technology - Roorkee  , India    
   384  ,  University of the Philippines Manila  , Philippines    
   387  ,  Hankuk University of Foreign Studies  , South Korea    
   391  ,  Gadjah Mada University  , Indonesia    
   397  ,  Chung-Ang University  , South Korea    
   402  ,  National Sun Yat-Sen University  , Taiwan    
   415  ,  Huazhong University of Science and Technology  , China    
   415  ,  National Central University  , Taiwan    
   422  ,  Shanghai University  , China    
   429  ,  Chang Gung University  , Taiwan    
   432  ,  Sharif University of Technology  , Iran    
   432  ,  Dongguk University  , South Korea    
   435  ,  Sogang University  , South Korea    
   443  ,  Tianjin University  , China    
   456  ,  Hitotsubashi University  , Japan    
   456  ,  Catholic University of Korea  , South Korea    
   460  ,  Yokohama City University  , Japan    
   464  ,  Beijing Institute of Technology  , China    
   464  ,  Chiba University  , Japan    
   472  ,  Indian Institute of Technology - Guwahati  , India    
   475  ,  Jilin University  , China    
   476  ,  Xiamen University  , China    
   481  ,  UCSI University  , Malaysia    
   487  ,  University of Delhi  , India    
   491  ,  Beihang University  , China    
   498  ,  Amirkabir University of Technology  , Iran    
   500  ,  University of Science and Technology Beijing  , China    
   500  ,  Singapore Management University  , Singapore    
   501-510  ,  East China Normal University  , China    
   501-510  ,  Pusan National University  , South Korea    
   501-510  ,  Ulsan University  , South Korea    
   511-520  ,  Southeast University  , China    
   511-520  ,  Kumamoto University  , Japan    
   511-520  ,  Okayama University  , Japan    
   521-530  ,  Renmin University of China  , China    
   521-530  ,  Nagasaki University  , Japan    
   521-530  ,  University of Technology - Petronas  , Malaysia    
   531-540  ,  East China University of Science and Technology  , China    
   541-550  ,  Shandong University  , China    
   541-550  ,  South China University of Technology  , China    
   541-550  ,  Osaka City University  , Japan    
   551-560  ,  Inha University  , South Korea    
   561-570  ,  Kanazawa University  , Japan    
   561-570  ,  National Taipei University of Technology  , Taiwan    
   571-580  ,  Dalian University of Technology  , China    
   571-580  ,  Tokyo University of Agriculture and Technology  , Japan    
   571-580  ,  Chonbuk National University  , South Korea    
   581-590  ,  Konkuk University  , South Korea    
   591-600  ,  University of Hyderabad  , India    
   591-600  ,  Hallym University  , South Korea    
   601-650  ,  Lanzhou University  , China    
   601-650  ,  Sichuan University  , China    
   601-650  ,  Lingnan University  , Hong Kong    
   601-650  ,  Jadavpur University  , India    
   601-650  ,  Iran University of Science and Technology Tehran  , Iran    
   601-650  ,  Kagoshima University  , Japan    
   601-650  ,  Osaka Prefecture University  , Japan    
   601-650  ,  University of Utara Malaysia  , Malaysia    
   601-650  ,  Thammasat University  , Thailand    
   601-650  ,  National Chengchi University  , Taiwan    
   601-650  ,  Taylor&rsquo;s University  , Malaysia    
   651-700  ,  China Agricultural University  , China    
   651-700  ,  Padjadjaran University  , Indonesia    
   651-700  ,  Gifu University  , Japan    
   651-700  ,  Niigata University  , Japan    
   651-700  ,  Tokyo Metropolitan University  , Japan    
   651-700  ,  Ajou University  , South Korea    
   651-700  ,  Chonnam National University  , South Korea    
   651-700  ,  Kyungpook National University  , South Korea    
   651-700  ,  Sejong University  , South Korea    
   651-700  ,  Seoul University  , South Korea    
   651-700  ,  International Islamic University Malaysia  , Malaysia    
   651-700  ,  Ateneo de Manila University  , Philippines    
